"","mouse_uni","shared_gene","human_uni"
"2727","Q3V0P1","CPXCR1","Q8N123"
"2728","Q8BFS6","CPPED1","Q9BRF8"
"2729","Q8K4M5","COMMD1","Q8N668"
"2730","Q8BXC6","COMMD2","Q86X83"
"2731","Q63829","COMMD3","Q9UBI1"
"2732","Q9CQ02","COMMD4","Q9H0A8"
"2733","Q8R395","COMMD5","Q9GZQ3"
"2734","Q3V4B5","COMMD6","Q7Z4G1"
"2735","P22387","EDN1","P05305"
"2736","P22389","EDN2","P20800"
"2737","Q9CR98","FAM136A","Q96C01"
"2738","Q9D6U8","FAM162A","Q96A26"
"2739","P81270","ERG","P11308"
"2740","Q9D581","EFCAB10","A6NFE3"
"2741","Q9D0E5","EFCAB11","Q9BUY7"
"2742","Q8BGQ6","EFCAB14","O75071"
"2743","Q8R3V6","CUEDC1","Q9NWM3"
"2744","Q71M36","CSPG5","O95196"
"2745","Q9D7G4","EURL","Q9NYK6"
"2746","Q8BLQ7","SLC7A4","O43246"
"2747","Q9D4H8","CUL2","Q13617"
"2748","P70423","SLC7A3","Q8WY07"
"2749","Q923L3","CSMD1","Q96PZ7"
"2750","P70424","ERBB2","P04626"
"2751","Q5SUQ9","CTC1","Q2NKJ3"
"2752","Q8BXZ0","CTXN3","Q4LDR2"
"2753","Q61526","ERBB3","P21860"
"2754","Q99LC5","ETFA","P13804"
"2755","P97464","EXT1","Q16394"
"2756","Q9WTJ8","FAM50B","Q9Y247"
"2757","Q61527","ERBB4","Q15303"
"2758","Q9D4K4","FANCD2OS","Q96PS1"
"2759","E9PV82","FAM53A","Q6NSI3"
"2760","Q9ERY9","ERG28","Q9UKR5"
"2761","Q922G2","FAM76A","Q8TAV0"
"2762","P70689","GJB6","O95452"
"2763","P50228","CXCL5","P42830"
"2764","Q9Z0D9","CX3CR1","P49238"
"2765","P43024","COX6A1","P12074"
"2766","Q91V16","ETFRF1","Q6IPR1"
"2767","O88410","CXCR3","P49682"
"2768","Q8BQN5","FAM78B","Q5VT40"
"2769","Q8VBV7","COPS8","Q99627"
"2770","O54851","GJD2","Q9UKL4"
"2771","Q3U564","DCP1B","Q8IZD4"
"2772","Q9DAR7","DCPS","Q96C86"
"2773","Q8QZV0","DEDD2","Q8WXF8"
"2774","Q8BQB4","FJX1","Q86VR8"
"2775","Q9D757","DAPL1","A0PJW8"
"2776","Q9Z0Y1","DCTN3","O75935"
"2777","Q62446","FKBP3","Q00688"
"2778","Q9CS72","FILIP1","Q7Z7B0"
"2779","A2APV2","FMNL2","Q96PY5"
"2780","Q8VHZ5","DDIT4L","Q96D03"
"2781","Q9DAF3","DDI1","Q8WTU0"
"2782","Q9CWX9","DDX47","Q9H0S4"
"2783","Q64205","DLX3","O60479"
"2784","Q91ZK4","DMBX1","Q8NFW5"
"2785","A2ATU0","DHTKD1","Q96HY7"
"2786","Q6SP97","ENKUR","Q8TC29"
"2787","Q8BPU7","ELMO1","Q92556"
"2788","Q9QXT5","EGFL7","Q9UHF1"
"2789","P62869","ELOB","Q15370"
"2790","Q8CDY7","DYNLT4","Q5JR98"
"2791","Q8BHI7","ELOVL5","Q9NYP7"
"2792","Q64516","GK","P32189"
"2793","Q9D8I3","GLOD5","A6NK44"
"2794","Q921L7","HEMK1","Q9Y5R4"
"2795","Q673U1","HS3ST2","Q9Y278"
"2796","Q8BU00","IKZF5","Q9H5V7"
"2797","O88786","IL13RA2","Q14627"
"2798","Q80V26","BPNT2","Q9NX62"
"2799","O35671","ITGB1BP1","O14713"
"2800","A2ASA8","ITPRIPL1","Q6GPH6"
"2801","P23906","IRF2","P14316"
"2802","Q60960","KPNA1","P52294"
"2803","Q04758","PKIB","Q9C010"
"2804","Q7TN12","INAVA","Q3KP66"
"2805","Q8C5L6","INPP5K","Q9BT40"
"2806","Q64339","ISG15","P05161"
"2807","Q9CX62","INKA1","Q96EL1"
"2808","P40936","INMT","O95050"
"2809","E9Q793","JHY","Q6NUN7"
"2810","Q9WVI9","MAPK8IP1","Q9UQF2"
"2811","Q69ZQ2","ISY1","Q9ULR0"
"2812","Q58A65","SPAG9","O60271"
"2813","P43406","ITGAV","P06756"
"2814","P11835","ITGB2","P05107"
"2815","Q91W40","KLC3","Q6P597"
"2816","O89053","CORO1A","P31146"
"2817","Q8R4T1","CYS1","Q717R9"
"2818","Q9QXT1","DAPP1","Q9UN19"
"2819","Q3TY60","FAM131B","Q86XD5"
"2820","P41164","ETV1","P50549"
"2821","P97360","ETV6","P41212"
"2822","Q8BFZ8","FAM72A","Q5TYM5"
"2823","Q5STT6","FAM71B","Q8TC56"
"2824","Q60750","EPHA1","P21709"
"2825","P55772","ENTPD1","P49961"
"2826","P49222","EPB42","P16452"
"2827","P54763","EPHB2","P29323"
"2828","P54754","EPHB3","P54753"
"2829","P54761","EPHB4","P54760"
"2830","Q921N8","GPS2","Q13227"
"2831","P49772","FLT3LG","P49771"
"2832","Q3ULZ2","FHDC1","Q9C0D6"
"2833","Q8BQM4","HEATR3","Q7Z4Q2"
"2834","Q8CF02","FAM25C","B3EWG5"
"2835","Q9R059","FHL3","Q13643"
"2836","Q8CHQ0","FBXO4","Q9UKT5"
"2837","Q8C2S5","FBXL5","Q9UKA1"
"2838","Q91ZT5","FGD4","Q96M96"
"2839","P37889","FBLN2","P98095"
"2840","Q8BIG4","FBXO28","Q9NVF7"
"2841","P14142","SLC2A4","P14672"
"2842","Q99KB8","HAGH","Q16775"
"2843","O35345","KPNA6","O60684"
"2844","Q61606","GCGR","P47871"
"2845","Q9WU62","INCENP","Q9NQS7"
"2846","Q8K2A7","INTS10","Q9NVR2"
"2847","Q8CIM8","INTS4","Q96HW7"
"2848","Q3THK7","GMPS","P49915"
"2849","O70326","GREM1","O60565"
"2850","P13745","GSTA1","P08263"
"2851","Q9Z1E4","GYS1","P13807"
"2852","Q04997","INHA","P05111"
"2853","Q62315","JARID2","Q92833"
"2854","P10922","H1-0","P07305"
"2855","Q9NYQ2","HAO2","Q9NYQ3"
"2856","P43277","H1-3","P16402"
"2857","Q9Z2W9","GRIA3","P42263"
"2858","Q9Z2W8","GRIA4","P48058"
"2859","Q7TQK1","INTS7","Q9NVH2"
"2860","P39087","GRIK2","Q13002"
"2861","P19157","GSTP1","P09211"
"2862","Q9Z0R0","HASPIN","Q8TF76"
"2863","Q9R092","HSD17B6","O14756"
"2864","Q9D3B1","HACD2","Q6Y1H2"
"2865","Q8K013","GTPBP10","A4D1E9"
"2866","Q9CQ35","GLIPR1L2","Q4G1C9"
"2867","Q8R1I2","GRP","P07492"
"2868","P21729","GRPR","P30550"
"2869","P12850","CXCL1","P09341"
"2870","Q8BFU2","H2AW","Q7L7L0"
"2871","P0C6A1","SLC2A7","Q6PXP3"
"2872","Q8BZR0","GPR82","Q96P67"
"2873","P06467","HBZ","P02008"
"2874","Q3U1Z5","GPSM3","Q9Y4H4"
"2875","Q6PDK2","KMT2D","O14686"
"2876","Q3TFK5","GPATCH4","Q5T3I0"
"2877","Q8BX79","GPR21","Q99679"
"2878","F8VQN3","GPR31","O00270"
"2879","Q3UGR5","HDHD2","Q9H0R4"
"2880","P04441","CD74","P04233"
"2881","P26928","MST1","P26927"
"2882","Q9CPS6","HINT3","Q9NQE9"
"2883","Q4VAH7","HEPACAM2","A8MVW5"
"2884","P35428","HES1","Q14469"
"2885","Q6ZQ58","LARP1","Q6PKG0"
"2886","Q9DBX7","HEYL","Q9NQ87"
"2887","Q8K4P8","HECW1","Q76N89"
"2888","D3Z4R1","HFM1","A2PYH4"
"2889","O70218","HMX1","Q9NP08"
"2890","Q80WM5","HAPLN3","Q96S86"
"2891","P70333","HNRNPH2","P55795"
"2892","Q61670","HLX","Q14774"
"2893","Q8C1A9","ABHD18","Q0P651"
"2894","A2A5R2","ARFGEF2","Q9Y6D5"
"2895","Q3U319","RNF40","O75150"
"2896","P63101","YWHAZ","P63104"
"2897","Q6PHS9","CACNA2D2","Q9NY47"
"2898","Q9WV31","ARC","Q7LC44"
"2899","Q8C0W1","ANKMY1","Q9P2S6"
"2900","Q75UR0","ANO5","Q75V66"
"2901","Q80U35","ARHGEF17","Q96PE2"
"2902","Q8C5H1","ANO4","Q32M45"
"2903","Q8BXL7","ARFRP1","Q13795"
"2904","O35608","ANGPT2","O15123"
"2905","P11859","AGT","P01019"
"2906","Q8VDY9","CAAP1","Q9H8G2"
"2907","Q61315","APC","P25054"
"2908","Q8BM75","ARID5B","Q14865"
"2909","Q8BH83","ANKRD9","Q96BM1"
"2910","Q6P1H6","ANKLE2","Q86XL3"
"2911","Q9D504","ANKRD7","Q92527"
"2912","P16015","CA3","P07451"
"2913","Q80UU1","ANKZF1","Q9H8Y5"
"2914","Q6PAK3","PRMT8","Q9NR22"
"2915","Q8VBT6","APOBR","Q0VD83"
"2916","Q91YI0","ASL","P04424"
"2917","P61213","ARL4A","P40617"
"2918","Q64133","MAOA","P21397"
"2919","Q9D3J8","AMTN","Q6UX39"
"2920","Q80UP5","ANKRD13A","Q8IZ07"
"2921","Q61548","SNAP91","O60641"
"2922","P56380","NUDT2","P50583"
"2923","Q6PD24","ANKRD13D","Q6ZTN6"
"2924","O88879","APAF1","O14727"
"2925","Q3V1D3","AMPD1","P23109"
"2926","Q80VP9","ASPHD2","Q6ICH7"
"2927","Q99NH0","ANKRD17","O75179"
"2928","Q9DAZ9","ZFYVE19","Q96K21"
"2929","Q9Z1P8","ANGPTL4","Q9BY76"
"2930","Q640P2","ANGPTL1","O95841"
"2931","Q9R045","ANGPTL2","Q9UKU9"
"2932","Q9R182","ANGPTL3","Q9Y5C1"
"2933","Q3UPP8","CEP63","Q96MT8"
"2934","Q8C0D9","CEP68","Q76N32"
"2935","Q7TSG1","CEP120","Q8N960"
"2936","Q0VBV7","CEP126","Q9P2H0"
"2937","Q8K341","ATAT1","Q5SQI0"
"2938","Q6HA09","ASTL","Q6HA08"
"2939","Q61324","ARNT2","Q9HBZ2"
"2940","Q8VDN2","ATP1A1","P05023"
"2941","Q8CJ61","CMTM4","Q8IZR5"
"2942","P04342","CRYGD","P07320"
"2943","Q9Z1R2","BAG6","P46379"
"2944","O55003","BNIP3","Q12983"
"2945","Q5DTM8","RNF20","Q5VTR2"
"2946","Q60773","CDKN2D","P55273"
"2947","Q91UZ5","IMPA2","O14732"
"2948","Q921Y2","IMP3","Q9NV31"
"2949","Q9Z0R6","ITSN2","Q9NZM3"
"2950","P15314","IRF1","P10914"
"2951","Q9R000","ITGB1BP2","Q9UKP3"
"2952","Q8BP00","IQCB1","Q15051"
"2953","Q3TYL0","IQANK1","A8MXQ7"
"2954","Q8VDV0","ITGBL1","O95965"
"2955","Q8VI75","IPO4","Q8TEX9"
"2956","Q14B48","ITPRID1","Q6ZRS4"
"2957","Q8CFS6","KCNV2","Q8TDN2"
"2958","Q8BJK1","KCTD7","Q96MP8"
"2959","P59997","KDM2A","Q9Y2K7"
"2960","A3KMN5","PRR16","Q569H4"
"2961","Q9D7X1","KCTD4","Q8WVF5"
"2962","Q8VC57","KCTD5","Q9NXV2"
"2963","Q6PDI6","MINDY2","Q8NBR6"
"2964","A1L314","MPEG1","Q2M385"
"2965","P16301","LCAT","P04180"
"2966","Q9D226","KRTAP5-3","Q6L8H2"
"2967","Q61092","LAMC2","Q13753"
"2968","Q61168","LAPTM5","Q13571"
"2969","Q9Z1M7","LARGE1","O95461"
"2970","Q99PI4","LPIN3","Q9BQK8"
"2971","Q8BM86","LHFPL6","Q9Y693"
"2972","P97484","LILRB3","O75022"
"2973","Q9WTX8","MAD1L1","Q9Y6D9"
"2974","P27046","MAN2A1","Q16706"
"2975","Q9D7Q0","LYG1","Q8N1E2"
"2976","Q64253","LY6E","Q16553"
"2977","Q8BRK9","MAN2A2","P49641"
"2978","Q8R003","MBNL3","Q9NUK0"
"2979","Q9DD23","LYPD2","Q6UXB3"
"2980","Q8BGT6","MICALL1","Q8N3F8"
"2981","Q80T91","MEGF11","A6BM72"
"2982","Q80V70","MEGF6","O75095"
"2983","Q5HZK2","NRSN2","Q9GZP1"
"2984","Q922K7","NOP2","P46087"
"2985","P53690","MMP14","P50281"
"2986","Q99LX5","MMTAG2","Q9BU76"
"2987","Q80Y86","MAPK15","Q8TD08"
"2988","Q9WVS4","MOK","Q9UQ07"
"2989","O08605","MKNK1","Q9BUB5"
"2990","Q80TL7","MON2","Q7Z3U7"
"2991","Q9D011","MPLKIP","Q8TAP9"
"2992","P63030","MPC1","Q9Y5U8"
"2993","O08911","MAPK12","P53778"
"2994","Q63844","MAPK3","P27361"
"2995","Q9WVS8","MAPK7","Q13164"
"2996","Q3TNW5","MUCL3","Q3MIW9"
"2997","Q3B7Z2","OSBP","P22059"
"2998","P60335","PCBP1","Q15365"
"2999","Q8VEL2","MTMR14","Q8NCE2"
"3000","P54276","MSH6","P52701"
"3001","Q91ZB5","MRGPRG","Q86SM5"
"3002","Q5ND52","MRM3","Q9HC36"
"3003","O54972","CBFA2T3","O75081"
"3004","Q2Q5T5","MYMX","A0A1B0GTQ4"
"3005","Q8VDD5","MYH9","P35579"
"3006","Q9ERS2","NDUFA13","Q9P0J0"
"3007","Q9CR61","NDUFB7","P17568"
"3008","Q01768","NME2","P22392"
"3009","Q91ZP9","NECAB2","Q7Z6G3"
"3010","Q9JKF6","NECTIN1","Q15223"
"3011","P08551","NEFL","P07196"
"3012","Q80U93","NUP214","P35658"
"3013","Q9R061","NUBP2","Q9Y5Y2"
"3014","Q9D720","NSMCE1","Q8WV22"
"3015","Q9CPP0","NPM3","O75607"
"3016","Q99NF2","NSMF","Q6X4W1"
"3017","Q9WUE4","NPRL2","Q8WTW4"
"3018","Q9CQE1","NIPSNAP3B","Q9BS92"
"3019","Q91V36","NRBP2","Q9NSY0"
"3020","Q8BVU5","NUDT9","Q9BW91"
"3021","P56974","NRG2","O14511"
"3022","Q8CFV4","NRN1","Q9NPD7"
"3023","Q9CQC2","CLPS","P04118"
"3024","Q8BLU0","FLRT2","O43155"
"3025","Q059Y8","DCST1","Q5T197"
"3026","O08788","DCTN1","Q14203"
"3027","Q99KJ8","DCTN2","Q13561"
"3028","Q9CR13","FMC1","Q96HJ9"
"3029","Q9QZB9","DCTN5","Q9BTE1"
"3030","Q9JII5","DAZAP1","Q96EP5"
"3031","F8VPU2","FARP1","Q9Y4F1"
"3032","Q6PGN3","DCLK2","Q8N568"
"3033","Q8BWQ5","DCLK3","Q9C098"
"3034","Q6AXC6","DDX11","Q96FC9"
"3035","E9PV24","FGA","P02671"
"3036","Q9CWS0","DDAH1","O94760"
"3037","Q9D9Z5","DDA1","Q9BW61"
"3038","Q8CIM3","D2HGDH","Q8N465"
"3039","Q9CWT6","DDX28","Q9NUL7"
"3040","Q3V188","ENDOU","P21128"
"3041","Q61701","ELAVL4","P26378"
"3042","Q63961","ENG","P17813"
"3043","P97480","EYA3","Q99504"
"3044","Q9Z191","EYA4","O95677"
"3045","Q9Z2E3","ERN2","Q76MJ5"
"3046","Q9DCM0","ETHE1","O95571"
"3047","Q6RI63","FAM120B","Q96EK7"
"3048","Q91V79","FITM1","A5D6W6"
"3049","Q8BH70","FBXL4","Q9UKA2"
"3050","P29699","AHSG","P02765"
"3051","P15656","FGF5","P12034"
"3052","P15655","FGF2","P09038"
"3053","Q71KU9","FGL1","Q08830"
"3054","Q9EQR6","FANCG","O15287"
"3055","Q8BGE5","FANCM","Q8IYD8"
"3056","Q8BSL4","HS3ST5","Q8IZT8"
"3057","E9Q5Z5","FANCF","Q9NPI8"
"3058","Q8K2I9","FBH1","Q8NFZ0"
"3059","P97807","FH","P07954"
"3060","Q80T41","GABBR2","O75899"
"3061","Q6PAJ3","GAREM2","Q75VX8"
"3062","Q3UTB7","FOXR1","Q6PIV2"
"3063","Q9Z2H7","GIPC2","Q8TF65"
"3064","Q9CXP8","GNG10","P50151"
"3065","Q9JMB0","GKAP1","Q5VSY0"
"3066","Q61012","GNGT1","P63211"
"3067","P26048","GABRA2","P47869"
"3068","P55937","GOLGA3","Q08378"
"3069","Q8BTZ7","GMPPB","Q9Y5P6"
"3070","Q8VEM1","RNF130","Q86XS8"
"3071","Q9CXX0","HYLS1","Q96M11"
"3072","P50431","SHMT1","P34896"
"3073","P98192","GNPAT","O15228"
"3074","P30677","GNA14","O95837"
"3075","Q08048","HGF","P14210"
"3076","P38532","HSF1","Q00613"
"3077","Q8K0U4","HSPA12A","O43301"
"3078","Q60668","HNRNPD","Q14103"
"3079","Q9D0E1","HNRNPM","P52272"
"3080","Q99PR8","HSPB2","Q16082"
"3081","P62748","HPCAL1","P37235"
"3082","Q8K572","HUS1B","Q8NHY5"
"3083","P10630","EIF4A2","Q14240"
"3084","P41133","ID3","Q02535"
"3085","Q3KNY0","IGFN1","Q86VF2"
"3086","Q7TQA1","IGSF1","Q8N6C5"
"3087","P28776","IDO1","P14902"
"3088","P70312","HAS2","Q92819"
"3089","Q8BPT6","IMMP2L","Q96T52"
"3090","P56477","IRF5","Q13568"
"3091","Q91VK4","ITM2C","Q9NQX7"
"3092","Q922B9","ITPRID2","P28290"
"3093","P54987","ACOD1","A6NK06"
"3094","Q8K2V6","IPO11","Q9UI26"
"3095","Q5DU25","IQSEC2","Q5JU85"
"3096","Q8BZT9","LACC1","Q8IV20"
"3097","Q61805","LBP","P18428"
"3098","Q8C0X0","LCA5L","O95447"
"3099","P02469","LAMB1","P07942"
"3100","Q9CXF0","KYNU","Q16719"
"3101","Q0P5X1","LRRIQ1","Q96JM4"
"3102","O88952","LIN7C","Q9NUP9"
"3103","P97823","LYPLA1","O75608"
"3104","Q3UFF7","LYPLAL1","Q5VWZ2"
"3105","Q9D2V8","MFSD10","Q14728"
"3106","Q8CCB5","METTL24","Q5JXM2"
"3107","O55087","MEF2B","Q02080"
"3108","Q8BRM6","MEI4","A8MW99"
"3109","O55123","MMP10","P09238"
"3110","Q9D273","MMAB","Q96EY8"
"3111","Q91ZV4","MOGAT1","Q96PD6"
"3112","Q6P5G0","MAPK4","P31152"
"3113","Q99MT2","MSH4","O15457"
"3114","A2AQ14","OIP5","O43482"
"3115","Q5SX40","MYH1","P12882"
"3116","Q02566","MYH6","P13533"
"3117","Q3UQ22","NTN5","Q8WTR8"
"3118","Q9R1A3","NTN3","O00634"
"3119","Q9D6J6","NDUFV2","P19404"
"3120","P10493","NID1","P14543"
"3121","P43688","NKX2-6","A6NCS4"
"3122","Q5DTT1","NEXMIF","Q5QGS0"
"3123","Q99MA9","NKX6-1","P78426"
"3124","G3UXB3","NKX1-1","Q15270"
"3125","Q8K120","NFATC4","Q14934"
"3126","Q69ZK9","NLGN2","Q8NFZ4"
"3127","Q91X97","NCALD","P61601"
"3128","Q8BYM5","NLGN3","Q9NZ94"
"3129","P13595","NCAM1","P13591"
"3130","Q9QZV9","NXT1","Q9UKK6"
"3131","Q99PE9","ARL4D","P49703"
"3132","Q7TN05","AP1S3","Q96PC3"
"3133","Q9WUD1","STUB1","Q9UNE7"
"3134","Q80ZU0","ARL5A","Q9Y689"
"3135","D3Z1D3","CEFIP","Q711Q0"
"3136","Q9JKC8","AP3M1","Q9Y2T2"
"3137","O35216","CENPA","P49450"
"3138","P08030","APRT","P07741"
"3139","O88693","UGCG","Q16739"
"3140","Q32KI9","ARSI","Q5FYB1"
"3141","Q8BM89","ARSJ","Q5FYB0"
"3142","P35329","CD22","P20273"
"3143","Q9JIL2","CCL28","Q9NRJ3"
"3144","Q61024","ASNS","P08243"
"3145","Q9WU60","ATRN","O75882"
"3146","Q8BMG1","ATRIP","Q8WXE1"
"3147","Q8R016","BLMH","Q13867"
"3148","Q61140","BCAR1","P56945"
"3149","Q6PAJ1","BCR","P11274"
"3150","O35927","CTNND2","Q9UQB3"
"3151","Q8C9S4","CCDC186","Q7Z3E2"
"3152","Q80TJ1","CADPS","Q9ULU8"
"3153","O55187","CBX4","O00257"
"3154","Q6PHN1","CCDC57","Q2TAC2"
"3155","P43346","DCK","P27707"
"3156","Q9ESN4","C1QL3","Q5VWW1"
"3157","Q09163","DLK1","P80370"
"3158","Q9D541","CCDC7","Q96M83"
"3159","Q80WT2","DMRT3","Q9NQL9"
"3160","O70354","CA11","O75493"
"3161","Q9D424","CABYR","O75952"
"3162","Q8C0C4","CCSER1","Q9C0I3"
"3163","Q9D8B3","CHMP4B","Q9H444"
"3164","P12787","COX5A","P20674"
"3165","Q8JZQ9","EIF3B","P55884"
"3166","Q14DQ1","FAM219B","Q5XKK7"
"3167","Q3TZZ7","ESYT2","A0FGR8"
"3168","Q5DTI8","ESYT3","A0FGR9"
"3169","P97447","FHL1","Q13642"
"3170","P59266","FITM2","Q8N6M3"
"3171","Q5F226","FAT2","Q9NYQ8"
"3172","P62932","FBXO40","Q9UH90"
"3173","Q9CPW2","FDX2","Q6P4F2"
"3174","Q0VDQ9","FEZF1","A0PJY2"
"3175","Q6DI86","FASTKD1","Q53R41"
"3176","Q9DAK4","FABP12","A6NFH5"
"3177","Q922E6","FASTKD2","Q9NYY8"
"3178","Q80UW2","FBXO2","Q9UK22"
"3179","Q922K9","FRK","P42685"
"3180","B1AXV0","FRRS1L","Q9P0K9"
"3181","Q9CYL5","GLIPR2","Q9H4G4"
"3182","A2AKB4","FRMPD1","Q5SYB0"
"3183","Q9JL27","FUT2","Q10981"
"3184","Q8BHC9","FUT11","Q495W5"
"3185","Q0VAX3","FADS2B","A8MWK0"
"3186","Q60688","FOXD4","Q12950"
"3187","Q8R2I0","FOXE1","O00358"
"3188","Q61574","FOXS1","O43638"
"3189","Q9ESM6","GDPD2","Q9HCC8"
"3190","Q8BMI4","GEN1","Q17RS7"
"3191","Q99L45","EIF2S2","P20042"
"3192","Q99NI3","GTF2IRD2","Q86UP8"
"3193","Q9QYK4","HS6ST3","Q8IZP7"
"3194","Q3UMU9","HDGFL2","Q7Z4V5"
"3195","O35205","GZMK","P49863"
"3196","O89100","GRAP2","O75791"
"3197","A0JNU3","ASPG","Q86U10"
"3198","Q8K248","HPDL","Q96IR7"
"3199","Q3TT38","ILRUN","Q9H6K1"
"3200","Q05A56","HYAL4","Q2M3T9"
"3201","Q9R118","HTRA1","Q92743"
"3202","P52792","GCK","P35557"
"3203","Q3UQ44","IQGAP2","Q13576"
"3204","Q9JKQ4","IRX5","P78411"
"3205","Q61500","ITM2A","O43736"
"3206","P34884","MIF","P14174"
"3207","Q6ZPV2","INO80","Q9ULG1"
"3208","O35664","IFNAR2","P48551"
"3209","Q9QY05","INSL6","Q9Y581"
"3210","B2RRL2","JRKL","Q9Y4A0"
"3211","Q6VV64","KCNK18","Q7Z418"
"3212","Q8C753","KATNIP","O60303"
"3213","Q8CIG3","KDM1B","Q8NB78"
"3214","Q6P8J7","CKMT2","P17540"
"3215","Q6ZPY7","KDM3B","Q7LBC6"
"3216","Q8BN59","LARP6","Q9BRS8"
"3217","O88803","LECT2","O14960"
"3218","Q3V2C1","KRTAP9-3","Q9BYQ3"
"3219","Q62220","KRTAP5-4","Q6L8H1"
"3220","P48025","SYK","P43405"
"3221","Q8C4N4","SLC66A1","Q6ZP29"
"3222","Q80XH1","KXD1","Q9BQD3"
"3223","Q9WV07","ALOXE3","Q9BYJ1"
"3224","Q8R4H7","NAGS","Q8N159"
"3225","P09541","MYL4","P12829"
"3226","Q61006","MUSK","O15146"
"3227","Q9JI33","NTN4","Q9HB63"
"3228","Q01097","GRIN2B","Q13224"
"3229","P37040","POR","P16435"
"3230","Q61985","NFE2L1","Q14494"
"3231","P33215","NEDD1","Q8NHV4"
"3232","O55239","NNMT","P40261"
"3233","Q925Q3","SLC8B1","Q6J4K2"
"3234","Q8R0W6","NDFIP1","Q9BT67"
"3235","O70145","NCF2","P19878"
"3236","Q80TM9","NISCH","Q9Y2I1"
"3237","Q91VR2","ATP5F1C","P36542"
"3238","Q91XD7","CRELD1","Q96HD1"
"3239","Q6P8I6","COX11","Q9Y6N1"
"3240","Q9D415","DLGAP1","O14490"
"3241","P17183","ENO2","P09104"
"3242","P23116","EIF3A","Q14152"
"3243","Q8BFR4","GNS","P15586"
"3244","P48168","GLRB","P48167"
"3245","Q8C129","LNPEP","Q9UIQ6"
"3246","Q99KR3","LACTB2","Q53H82"
"3247","Q8C3I8","HGH1","Q9BTY7"
"3248","Q9D1G3","HHATL","Q9HCP6"
"3249","F2Z461","HERC6","Q8IVU3"
"3250","Q9JHE6","HES6","Q96HZ4"
"3251","Q8BWW4","LARP4","Q71RC2"
"3252","Q61897","KRT33B","Q14525"
"3253","Q3V016","HIPK4","Q8NE63"
"3254","Q3SXD3","HDDC2","Q7Z4H3"
"3255","Q9CQJ1","HIGD2A","Q9BW72"
"3256","Q8CDU6","HECTD2","Q5U5R9"
"3257","Q60848","HELLS","Q9NRZ9"
"3258","Q8BG40","KATNB1","Q9BVA0"
"3259","Q9Z2G9","HTATIP2","Q9BUP3"
"3260","Q9QUP5","HAPLN1","P10915"
"3261","Q9JLS0","HILPDA","Q9Y5L2"
"3262","Q61699","HSPH1","Q92598"
"3263","P17879","HSPA1B","P0DMV9"
"3264","Q9DAM3","HSPB9","Q9BQS6"
"3265","Q9ERS7","IL1RL2","Q9HB29"
"3266","P20109","IL13","P35225"
"3267","Q8R3Y8","IRF2BP1","Q8IU81"
"3268","Q3U1G5","ISG20L2","Q9H9L3"
"3269","Q9Z0R4","ITSN1","Q15811"
"3270","Q9DAI2","IFT22","Q9H7X7"
"3271","P35569","IRS1","P35568"
"3272","Q059U7","INTU","Q9ULD6"
"3273","P97875","JDP2","Q8WYK2"
"3274","Q9JHU9","ISYNA1","Q9NPH2"
"3275","Q9QXX0","JAG1","P78504"
"3276","Q80UN9","TRIT1","Q9H3H1"
"3277","Q80WE4","KIF20B","Q96Q89"
"3278","O35308","SLC16A8","O95907"
"3279","Q9QXL2","KIF21A","Q7Z4S6"
"3280","P0C605","PRKG1","Q13976"
"3281","P47809","MAP2K4","P45985"
"3282","Q9WVS7","MAP2K5","Q13163"
"3283","P86046","KCNJ13","O60928"
"3284","Q80UY2","KCMF1","Q9P0J7"
"3285","Q9QZW9","MNX1","P50219"
"3286","Q3UXL4","KIZ","Q2M2Z5"
"3287","P33175","KIF5A","Q12840"
"3288","P28738","KIF5C","O60282"
"3289","Q99PT9","KIF19","Q2TAC6"
"3290","Q920P5","AK5","Q9Y6K8"
"3291","P33173","KIF1A","Q12756"
"3292","P70188","KIFAP3","Q92845"
"3293","Q9QYN3","KLK11","Q9UBX7"
"3294","O35231","KIFC3","Q9BVG8"
"3295","Q9R008","MVK","Q03426"
"3296","Q17ST2","KCNA7","Q96RP8"
"3297","Q6ZPT1","KLHL9","Q9P2J3"
"3298","Q9D2H2","AK7","Q96M32"
"3299","Q61781","KRT14","P02533"
"3300","P60762","MORF4L1","Q9UBU8"
"3301","Q8BZ21","KAT6A","Q92794"
"3302","Q8BRB7","KAT6B","Q8WYB5"
"3303","Q9R0Q4","MORF4L2","Q15014"
"3304","P26041","MSN","P26038"
"3305","Q9CQL7","MRFAP1","Q9Y605"
"3306","Q2VPU4","MLXIP","Q9HAP2"
"3307","Q9JIB0","RANGRF","Q9HD47"
"3308","Q3V3F6","MPZL3","Q6UWV2"
"3309","Q8BWJ3","PHKA2","P46019"
"3310","Q6Q783","KMT5C","Q86Y97"
"3311","Q5DTI6","KANSL1L","A0AUZ9"
"3312","Q9Z331","KRT6B","P04259"
"3313","A2RSY1","KANSL3","Q9P2N6"
"3314","P68404","PRKCB","P05771"
"3315","Q6NZK5","KIAA1328","Q86T90"
"3316","Q9JK45","KCNQ5","Q9NR82"
"3317","Q61001","LAMA5","O15230"
"3318","Q9Z2B9","RPS6KA4","O75676"
"3319","Q9DAE3","LELP1","Q5T871"
"3320","Q3UN02","LCLAT1","Q6UWP7"
"3321","P52480","PKM","P14618"
"3322","P53657","PKLR","P30613"
